true_label,raw_pred,guarded_pred,correct,confidence,margin_top2,repo,workflow,job,failing_step,primary_label,label_source,confidence_source,synthetic,active_features,text_preview,p_compilation,p_configuration,p_flaky_test,p_infrastructure,p_test_failure
configuration,compilation,compilation,False,0.4343184815803638,0.15147101405893748,sqlalchemy/sqlalchemy,Run tests,test-3.11-windows-latest-x86-cext-greenlet,Run tests,runtime.exit_code,ollama,0.95,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,ï»¿Current runner version: '2.331.0' Hosted Compute Agent Version: 20260123.484 Commit: <SHA> Build Date: Worker ID: {b5ed4f01-4768-4dc1-988a-7eeae437b563} Azure Region: northcentralus Microsoft Windows Server 2025 10.0.26100 Datacenter Image: windows-2025 Version: 20260127.11.2 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Secret source: Actions Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v4' (SHA:<SHA>) Download action repository 'actions/setup-python@v5' ,0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
compilation,configuration,configuration,False,0.5108963735889769,0.0867106351401602,tiangolo/fastapi,Build Docs,langs,Install docs extras,runtime.exit_code,ollama,0.855,False,feat_kw_config_fail=1; feat_config_no_compile=1; feat_step_is_setup=1; feat_primary_is_runtime=1; feat_config_missing_file=1; feat_first_error_before_tests=1; feat_error_in_setup_step=1,ï»¿Current runner version: '2.333.1' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {f0cf71cf-ad4b-4132-ae44-e3cea9af105d} Azure Region: westcentralus Ubuntu 24.04.4 LTS Image: ubuntu-24.04 Version: 20260323.65.1 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Packages: read Secret source: None Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v6' (SHA:<SHA>) Download action repository 'actions/setup-python@v6' (SHA:<SHA>) Download a,0.4241857384488167,0.5108963735889769,0.00018558233350377516,0.019575947029945556,0.045156358598757156
configuration,compilation,compilation,False,0.6956027572034927,0.4237746829278611,pypa/virtualenv,🧪 check,🧪 test 3.12 - macos-15,🏗️ Setup test suite,runtime.exit_code,ollama,0.95,False,feat_fw_gradle=1; feat_step_is_test=1; feat_step_is_setup=1; feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_error_in_setup_step=1; feat_error_in_test_step=1; feat_has_compile_task=1,* [new tag] 20.27.2 -> 20.27.2 * [new tag] 20.27.3 -> 20.27.3 * [new tag] 20.28.0 -> 20.28.0 * [new tag] 20.28.1 -> 20.28.1 * [new tag] 20.29.0 -> 20.29.0 * [new tag] 20.29.1 -> 20.29.1 * [new tag] 20.29.2 -> 20.29.2 * [new tag] 20.29.3 -> 20.29.3 * [new tag] 20.3.0 -> 20.3.0 * [new tag] 20.3.1 -> 20.3.1 * [new tag] 20.30.0 -> 20.30.0 * [new tag] 20.31.0 -> 20.31.0 * [new tag] 20.31.1 -> 20.31.1 * [new tag] 20.31.2 -> 20.31.2 * [new tag] 20.32.0 -> 20.32.0 * [new tag] 20.33.0 -> 20.33.0 * [new tag] 20.33.1 -> 20.33.1 * [new tag] 20.34.0 -> 20.34.0 * [new tag] 20.35.0 -> 20.35.0 * [new tag] 20.,0.6956027572034927,0.27182807427563166,0.00014048827291545513,0.015565995995832997,0.01686268425212735
configuration,compilation,compilation,False,0.4343184815803638,0.15147101405893748,benoitc/gunicorn,lint,3.12 / tox-(other),Check generated docs,runtime.exit_code,ollama,0.95,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,ï»¿Current runner version: '2.331.0' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {ebd554eb-d37f-4cd3-947d-3c15f3fc9da8} Azure Region: westus Ubuntu 24.04.3 LTS Image: ubuntu-24.04 Version: 20260217.30.1 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Secret source: Actions Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v6' (SHA:<SHA>) Download action repository 'actions/setup-python@v6' (SHA:<SHA>) Complete job name: 3.12 / tox,0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
configuration,compilation,compilation,False,0.4343184815803638,0.15147101405893748,benoitc/gunicorn,lint,3.12 / tox-(other),Check generated docs,runtime.exit_code,ollama,0.95,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,ï»¿Current runner version: '2.331.0' Hosted Compute Agent Version: 20260123.484 Commit: <SHA> Build Date: Worker ID: {b306142a-58e7-4078-93f4-68318ce12cc6} Azure Region: eastus2 Ubuntu 24.04.3 LTS Image: ubuntu-24.04 Version: 20260126.10.1 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Secret source: Actions Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v6' (SHA:<SHA>) Download action repository 'actions/setup-python@v6' (SHA:<SHA>) Complete job name: 3.12 / to,0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
configuration,compilation,compilation,False,0.7404580345727101,0.5172654969773297,pypa/virtualenv,🧪 check,🧪 test brew@3.10 - macos-15,🏗️ Setup test suite,runtime.exit_code,ollama,0.95,False,feat_fw_gradle=1; feat_step_is_test=1; feat_step_is_setup=1; feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_error_in_setup_step=1; feat_error_in_test_step=1; feat_has_compile_task=1; feat_has_dependency_install=1,* [new tag] 20.6.0 -> 20.6.0 * [new tag] 20.7.0 -> 20.7.0 * [new tag] 20.7.1 -> 20.7.1 * [new tag] 20.7.2 -> 20.7.2 * [new tag] 20.8.0 -> 20.8.0 * [new tag] 20.8.1 -> 20.8.1 * [new tag] 20.9.0 -> 20.9.0 * [new ref] <SHA> -> pull/3025/merge [command]/opt/homebrew/bin/git sparse-checkout disable [command]/opt/homebrew/bin/git config --local --unset-all extensions.worktreeConfig [command]/opt/homebrew/bin/git checkout --progress --force refs/remotes/pull/3025/merge HEAD is now at 37ccbbe2 Merge <SHA> into <SHA> [command]/opt/homebrew/bin/git log -1 --format=%H <SHA> git fetch --force --tags <url:,0.7404580345727101,0.22319253759538035,0.00016463409276082412,0.021439458168535937,0.014745335570612904
configuration,compilation,compilation,False,0.5000172400223225,0.13343225498149158,docker/compose,ci,test,Test,runtime.command_not_found,rule,0.92,False,feat_step_is_test=1; feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_error_in_test_step=1; feat_has_compile_task=1,"""reservedSpace"": ""9.313GiB"", ""maxUsedSpace"": ""93.13GiB"", ""minFreeSpace"": ""27.01GiB"" }, { ""all"": true, ""reservedSpace"": ""9.313GiB"", ""maxUsedSpace"": ""93.13GiB"", ""minFreeSpace"": ""27.01GiB"" } ] } ], ""name"": ""builder-8d43ba28-ceca-40f8-b3b1-cdf99cd4a148"", ""driver"": ""docker-container"", ""lastActivity"": """" } [command]/usr/bin/docker buildx bake <url:github.com> --set *.cache-from=type=gha,scope=test --set *.cache-to=type=gha,scope=test --print test #0 building with ""builder-8d43ba28-ceca-40f8-b3b1-cdf99cd4a148"" instance using docker-container driver #1 [internal] load git source <url:github.com> #1 0.",0.5000172400223225,0.12410142242626171,0.0003306031426620237,0.008965749367922826,0.3665849850408309
configuration,compilation,compilation,False,0.527673877726214,0.21984706578223218,pydantic/pydantic,Third party tests,Test Django Ninja (main branch) on Python 3.11,Install Django Ninja dependencies,runtime.exit_code,ollama,0.95,False,feat_fw_pytest=1; feat_step_is_setup=1; feat_primary_is_runtime=1; feat_first_error_after_tests_started=1; feat_error_in_setup_step=1; feat_error_in_test_step=1; feat_has_dependency_install=1,bmodules: false set-safe-directory: true env: FORCE_COLOR: 1 PIP_PROGRESS_BAR: off Syncing repository: vitalik/django-ninja Working directory is '/home/runner/work/pydantic/pydantic' [command]/usr/bin/git version git version 2.53.0 Temporarily overriding HOME='/home/runner/work/_temp/c5fbe08c-4a36-47d5-b9d8-e615eaa166fd' before making global git config changes Adding repository directory to the temporary git global config as a safe directory [command]/usr/bin/git config --global --add safe.directory /home/runner/work/pydantic/pydantic Deleting the contents of '/home/runner/work/pydantic/pydant,0.527673877726214,0.3078268119439818,0.0020813582330094743,0.05618675511262294,0.10623119698417183
configuration,compilation,compilation,False,0.5513166612264826,0.22331911174760527,checkstyle/checkstyle,Check PR Description,Analyze,Do action,runtime.exit_code,ollama,0.95,False,feat_is_java=1; feat_primary_is_runtime=1; feat_first_error_before_tests=1,ï»¿Current runner version: '2.333.1' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {97356ea0-c9cb-4a08-82bd-b388d4299ab5} Azure Region: northcentralus Ubuntu 24.04.4 LTS Image: ubuntu-24.04 Version: 20260406.80.1 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Packages: read Secret source: None Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v6' (SHA:<SHA>) Complete job name: Analyze with: repository: checkstyle/checkstyle token: ,0.5513166612264826,0.3279975494788773,0.0002389049518138468,0.03286963471101677,0.08757724963180934
configuration,compilation,compilation,False,0.46907154893427666,0.19000449110505535,netty/netty,Auto-port to 4.1,Auto-porting to 4.1,Push auto-port branch,runtime.exit_code,ollama,0.9,False,feat_is_java=1; feat_step_is_docker=1; feat_primary_is_runtime=1; feat_first_error_before_tests=1,g] netty-4.1.0.CR3 -> netty-4.1.0.CR3 * [new tag] netty-4.1.0.CR4 -> netty-4.1.0.CR4 * [new tag] netty-4.1.0.CR5 -> netty-4.1.0.CR5 * [new tag] netty-4.1.0.CR6 -> netty-4.1.0.CR6 * [new tag] netty-4.1.0.CR7 -> netty-4.1.0.CR7 * [new tag] netty-4.1.0.Final -> netty-4.1.0.Final * [new tag] netty-4.1.1.Final -> netty-4.1.1.Final * [new tag] netty-4.1.10.Final -> netty-4.1.10.Final * [new tag] netty-4.1.100.Final -> netty-4.1.100.Final * [new tag] netty-4.1.101.Final -> netty-4.1.101.Final * [new tag] netty-4.1.102.Final -> netty-4.1.102.Final * [new tag] netty-4.1.103.Final -> netty-4.1.103.Final,0.46907154893427666,0.2790670578292213,0.00020326524423566045,0.17714560365678136,0.074512524335485
